0,1,2,3,4,5,6
사업부,총생산금액,총 레진 사용량,총 레진 금액,레진 Loss 사용량,레진 Loss 금액,비율(%)
베트남사업부,"261,644,319","19,342","157,437,448",949,"9,121,924",5.79%
인도사업부,"162,045,644","4,960","34,991,174",89,"943,879",2.70%
한국사업부,"29,593,223","11,669","8,367,420",867,"521,760",6.24%
삼광윈테크,"135,196,280","23,929","85,190,180",764,"2,820,481",3.31%
