No.,입고일,거래처,거래처명,품목군,품목코드,품목정보,구분,입고구분,매입구분,화폐,입고량,단가,금액,환율,환산금액,정산구분,정산수량,입고창고,입고전표번호,접수번호,DO번호,비고,사업장,최종수정자,최종수정일시,등록프로그램
1.0,20240102.0,3033.0,(주)삼원테크,DM3,MCP-A288-00-N1,DM3 DECO CNC #1 ◈ (기준 면삭 및 기준홀 가공) ◈ (BLACK),정상,외주가공,국내,KRW,30240,15.0,453600,1.0,453600,정산완료,30240.0,경유창고,O1202401020016,PA202401020017,DO202401020033,코지텍 직납,㈜삼광,품질공용,20240102163700.0,수입검사등록확인
2.0,20240102.0,3033.0,(주)삼원테크,E3,MCP-A322-00-N1,E3 DECO CNC #1 ◈ (기준 면삭 및 기준홀 가공) ◈ (Dark Gray),정상,외주가공,국내,KRW,80640,15.0,1209600,1.0,1209600,정산완료,80640.0,경유창고,O1202401020018,PA202401020016,DO202401020031,삼광윈테크 직납,㈜삼광,품질공용,20240102163701.0,수입검사등록확인
3.0,20240102.0,3033.0,(주)삼원테크,E3,MCP-A322-00-N1,E3 DECO CNC #1 ◈ (기준 면삭 및 기준홀 가공) ◈ (Dark Gray),정상,외주가공,국내,KRW,100800,15.0,1512000,1.0,1512000,정산완료,100800.0,경유창고,O1202401020017,PA202401020017,DO202401020032,코지텍 직납,㈜삼광,품질공용,20240102163701.0,수입검사등록확인
4.0,20240102.0,3033.0,(주)삼원테크,Mars,PNO-A438-00-Z,MARS KNOB 가공 ◈ (GATE CUTTING) ◈ (Black),정상,외주가공,국내,KRW,10000,56.0,560000,1.0,560000,정산완료,10000.0,경유창고,O1202401020023,PA202401020019,DO202401020027,,㈜삼광,품질공용,20240102163701.0,수입검사등록확인
5.0,20240102.0,3033.0,(주)삼원테크,Tab S6 Lite,PCB-B463-00-Z,TAB S6 LITE REAR BODY 가공 ◈ (GATE CUTTING) ◈ (GRAY),정상,외주가공,국내,KRW,10000,32.0,320000,1.0,320000,정산완료,10000.0,경유창고,O1202401020019,PA202401020019,DO202401020025,,㈜삼광,품질공용,20240102163701.0,수입검사등록확인
6.0,20240102.0,3033.0,(주)삼원테크,Tab S6 Lite,PNO-A423-00-Z,TAB S6 LITE KNOB 가공 ◈ (GATE CUTTING) ◈ (GRAY),정상,외주가공,국내,KRW,10000,71.0,710000,1.0,710000,정산완료,10000.0,경유창고,O1202401020021,PA202401020019,DO202401020026,,㈜삼광,품질공용,20240102163701.0,수입검사등록확인
7.0,20240102.0,3033.0,(주)삼원테크,Tab S7,PNO-A425-00-Z,TAB S7 KNOB 가공 ◈ (GATE CUTTING) ◈ (Black),정상,외주가공,국내,KRW,6000,56.0,336000,1.0,336000,정산완료,6000.0,경유창고,O1202401020022,PA202401020018,DO202401020030,경진기업 직납,㈜삼광,품질공용,20240102163701.0,수입검사등록확인
8.0,20240102.0,3033.0,(주)삼원테크,TAB S9 FE,PCB-B683-02-Z,TAB S9 FE REAR BODY 가공 ◈ (GATE CUTTING) ◈ (GRAY),정상,외주가공,국내,KRW,10000,37.0,370000,1.0,370000,정산완료,10000.0,경유창고,O1202401020020,PA202401020018,DO202401020028,경진기업 직납,㈜삼광,품질공용,20240102163701.0,수입검사등록확인
9.0,20240102.0,3033.0,(주)삼원테크,TAB S9 FE,PNO-A509-02-Z,TAB S9 FE KNOB 가공 ◈ (GATE CUTTING) ◈ (GRAY),정상,외주가공,국내,KRW,10000,65.0,650000,1.0,650000,정산완료,10000.0,경유창고,O1202401020024,PA202401020018,DO202401020029,경진기업 직납,㈜삼광,품질공용,20240102163702.0,수입검사등록확인
10.0,20240102.0,3088.0,(주)삼광윈테크,E3,MCP-A322-00,E3 DECO CNC #3 ◈ (배면형상가공/타발) ◈ (Dark Gray),정상,외주가공,국내,KRW,60000,397.0,23820000,1.0,23820000,정산완료,60000.0,제품창고,O1202401020048,PA202401020023,DO202401020034,,㈜삼광,김태완,20240102173814.0,수입검사등록확인
11.0,20240102.0,3088.0,(주)삼광윈테크,E3,MCP-A322-00-N2,E3 DECO CNC #2 ◈ (전면 형상가공 ) ◈ (Dark Gray),정상,외주가공,국내,KRW,80284,174.0,13969416,1.0,13969416,정산완료,80284.0,경유창고,O1202401020013,PA202401020014,DO202401020024,신진 #2차 <윤성>,㈜삼광,김태완,20240102161653.0,수입검사등록확인
12.0,20240102.0,3088.0,(주)삼광윈테크,E3,MCP-A322-00-N2,E3 DECO CNC #2 ◈ (전면 형상가공 ) ◈ (Dark Gray),정상,외주가공,국내,KRW,4711,174.0,819714,1.0,819714,정산완료,4711.0,경유창고,O1202401020025,PA202401020021,DO202401020022,알루코(공정협의품),㈜삼광,품질공용,20240102163710.0,수입검사등록확인
13.0,20240102.0,3088.0,(주)삼광윈테크,SM-F721U,GH64-08900A-N,SM-F721U FRONT DECO SUB NC  ◈ (전면DAMPER 가공 2POINT) ◈ (BLACK),정상,외주가공,국내,KRW,143,800.0,114400,1.0,114400,정산완료,143.0,경유창고,O1202401020003,PA202401020007,DO202401020008,,㈜삼광,김태완,20240102145049.0,수입검사등록확인
14.0,20240102.0,3088.0,(주)삼광윈테크,SM-F721U,GH64-08900A-N,SM-F721U FRONT DECO SUB NC  ◈ (전면DAMPER 가공 2POINT) ◈ (BLACK),정상,외주가공,국내,KRW,1196,800.0,956800,1.0,956800,정산완료,1196.0,경유창고,O1202401020002,PA202401020007,DO202401020007,,㈜삼광,김태완,20240102145049.0,수입검사등록확인
15.0,20240102.0,3088.0,(주)삼광윈테크,SM-F936U,GH64-08861A-N,SM-F936U FRONT DECO MAIN NC ◈ (전면: DAMPER 가공 2P) ◈ (BLACK),정상,외주가공,국내,KRW,13,975.0,12675,1.0,12675,정산완료,13.0,경유창고,O1202401020001,PA202401020007,DO202401020010,,㈜삼광,김태완,20240102145047.0,수입검사등록확인
16.0,20240102.0,3226.0,준테크(전 유신테크),SM-F731U,GH64-09152A-N,SM-F731U FRONT DECO SUB NC ◈ (GATE 가공 6POINT ) ◈ (BLACK),정상,외주가공,국내,KRW,5040,725.0,3654000,1.0,3654000,정산완료,5040.0,경유창고,O1202401020012,PA202401020015,DO202401020023,,㈜삼광,김태완,20240102152310.0,수입검사등록확인
17.0,20240102.0,3247.0,태산테크 주식회사,Mars,PCB-B526-00,MARS REAR BODY 도장 ◈ (SF 4COAT) ◈ (BLACK),정상,외주가공,국내,KRW,2500,89.0,222500,1.0,222500,정산완료,2500.0,제품창고,O1202401020030,PA202401020020,DO202401020004,,㈜삼광,품질공용,20240102163908.0,수입검사등록확인
18.0,20240102.0,3247.0,태산테크 주식회사,Mars,PCB-B526-00,MARS REAR BODY 도장 ◈ (SF 4COAT) ◈ (BLACK),정상,외주가공,국내,KRW,2500,89.0,222500,1.0,222500,정산완료,2500.0,제품창고,O1202401020032,PA202401020020,DO202401020004,,㈜삼광,품질공용,20240102163908.0,수입검사등록확인
19.0,20240102.0,3247.0,태산테크 주식회사,Mars,PCB-B526-00,MARS REAR BODY 도장 ◈ (SF 4COAT) ◈ (BLACK),정상,외주가공,국내,KRW,2500,89.0,222500,1.0,222500,정산완료,2500.0,제품창고,O1202401020033,PA202401020020,DO202401020004,,㈜삼광,품질공용,20240102163908.0,수입검사등록확인
20.0,20240102.0,3247.0,태산테크 주식회사,Mars,PCB-B526-00,MARS REAR BODY 도장 ◈ (SF 4COAT) ◈ (BLACK),정상,외주가공,국내,KRW,2500,89.0,222500,1.0,222500,정산완료,2500.0,제품창고,O1202401020036,PA202401020020,DO202401020005,,㈜삼광,품질공용,20240102163958.0,수입검사등록확인
21.0,20240102.0,3247.0,태산테크 주식회사,Mars,PCB-B526-00,MARS REAR BODY 도장 ◈ (SF 4COAT) ◈ (BLACK),정상,외주가공,국내,KRW,2500,89.0,222500,1.0,222500,정산완료,2500.0,제품창고,O1202401020038,PA202401020020,DO202401020005,,㈜삼광,품질공용,20240102164011.0,수입검사등록확인
22.0,20240102.0,3247.0,태산테크 주식회사,Mars,PCB-B526-00,MARS REAR BODY 도장 ◈ (SF 4COAT) ◈ (BLACK),정상,외주가공,국내,KRW,5000,89.0,445000,1.0,445000,정산완료,5000.0,제품창고,O1202401020035,PA202401020020,DO202401020004,,㈜삼광,품질공용,20240102163934.0,수입검사등록확인
23.0,20240102.0,3247.0,태산테크 주식회사,Mars,PCB-B526-00,MARS REAR BODY 도장 ◈ (SF 4COAT) ◈ (BLACK),정상,외주가공,국내,KRW,2500,89.0,222500,1.0,222500,정산완료,2500.0,제품창고,O1202401020039,PA202401020020,DO202401020004,,㈜삼광,품질공용,20240102164014.0,수입검사등록확인
24.0,20240102.0,3247.0,태산테크 주식회사,Mars,PCB-B526-00,MARS REAR BODY 도장 ◈ (SF 4COAT) ◈ (BLACK),정상,외주가공,국내,KRW,5000,89.0,445000,1.0,445000,정산완료,5000.0,제품창고,O1202401020034,PA202401020020,DO202401020005,,㈜삼광,품질공용,20240102163934.0,수입검사등록확인
25.0,20240102.0,3247.0,태산테크 주식회사,Mars,PCB-B526-00,MARS REAR BODY 도장 ◈ (SF 4COAT) ◈ (BLACK),정상,외주가공,국내,KRW,5000,89.0,445000,1.0,445000,정산완료,5000.0,제품창고,O1202401020031,PA202401020020,DO202401020005,,㈜삼광,품질공용,20240102163908.0,수입검사등록확인
26.0,20240102.0,3247.0,태산테크 주식회사,Mars,PCB-B526-00,MARS REAR BODY 도장 ◈ (SF 4COAT) ◈ (BLACK),정상,외주가공,국내,KRW,2500,89.0,222500,1.0,222500,정산완료,2500.0,제품창고,O1202401020037,PA202401020020,DO202401020004,,㈜삼광,품질공용,20240102163958.0,수입검사등록확인
27.0,20240102.0,3247.0,태산테크 주식회사,Mars,PCB-B526-00,MARS REAR BODY 도장 ◈ (SF 4COAT) ◈ (BLACK),정상,외주가공,국내,KRW,5000,89.0,445000,1.0,445000,정산완료,5000.0,제품창고,O1202401020029,PA202401020020,DO202401020004,,㈜삼광,품질공용,20240102163908.0,수입검사등록확인
28.0,20240102.0,3247.0,태산테크 주식회사,Mars,PCB-B526-00,MARS REAR BODY 도장 ◈ (SF 4COAT) ◈ (BLACK),정상,외주가공,국내,KRW,5000,89.0,445000,1.0,445000,정산완료,5000.0,제품창고,O1202401020028,PA202401020020,DO202401020004,,㈜삼광,품질공용,20240102163908.0,수입검사등록확인
29.0,20240102.0,3247.0,태산테크 주식회사,Mars,PCB-B526-00,MARS REAR BODY 도장 ◈ (SF 4COAT) ◈ (BLACK),정상,외주가공,국내,KRW,2500,89.0,222500,1.0,222500,정산완료,2500.0,제품창고,O1202401020027,PA202401020020,DO202401020005,,㈜삼광,품질공용,20240102163908.0,수입검사등록확인
30.0,20240102.0,3247.0,태산테크 주식회사,Mars,PCB-B526-00,MARS REAR BODY 도장 ◈ (SF 4COAT) ◈ (BLACK),정상,외주가공,국내,KRW,2500,89.0,222500,1.0,222500,정산완료,2500.0,제품창고,O1202401020026,PA202401020020,DO202401020004,,㈜삼광,품질공용,20240102163908.0,수입검사등록확인
31.0,20240102.0,3247.0,태산테크 주식회사,Mars,PCM-B525-00,MARS FRONT BODY 도장 ◈ (버핑(P/L LINE 사포) / SF 4COAT / 삼성 로고 인쇄) ◈ (Black),정상,외주가공,국내,KRW,3600,733.0,2638800,1.0,2638800,정산완료,3600.0,제품창고,O1202401020041,PA202401020020,DO202401020019,,㈜삼광,품질공용,20240102164051.0,수입검사등록확인
32.0,20240102.0,3247.0,태산테크 주식회사,Mars,PCM-B525-00,MARS FRONT BODY 도장 ◈ (버핑(P/L LINE 사포) / SF 4COAT / 삼성 로고 인쇄) ◈ (Black),정상,외주가공,국내,KRW,3600,733.0,2638800,1.0,2638800,정산완료,3600.0,제품창고,O1202401020040,PA202401020020,DO202401020019,,㈜삼광,품질공용,20240102164051.0,수입검사등록확인
33.0,20240102.0,3247.0,태산테크 주식회사,Mars,PNO-A438-00,MARS KNOB 도장 ◈ (SF 4COAT) ◈ (Black),정상,외주가공,국내,KRW,20000,104.0,2080000,1.0,2080000,정산완료,20000.0,제품창고,O1202401020043,PA202401020020,DO202401020002,,㈜삼광,품질공용,20240102164052.0,수입검사등록확인
34.0,20240102.0,3247.0,태산테크 주식회사,Mars,PNO-A438-00,MARS KNOB 도장 ◈ (SF 4COAT) ◈ (Black),정상,외주가공,국내,KRW,7500,104.0,780000,1.0,780000,정산완료,7500.0,제품창고,O1202401020044,PA202401020020,DO202401020003,,㈜삼광,품질공용,20240102164109.0,수입검사등록확인
35.0,20240102.0,3247.0,태산테크 주식회사,Tab S6 Lite,PNO-A423-00,TAB S6 LITE KNOB 도장 ◈ (SF 3코팅) ◈ (GRAY),정상,외주가공,국내,KRW,10000,120.0,1200000,1.0,1200000,정산완료,10000.0,제품창고,O1202401020042,PA202401020020,DO202401020006,,㈜삼광,품질공용,20240102164051.0,수입검사등록확인
36.0,20240102.0,5367.0,모비텍,Mars,PCB-B526-00-Z,MARS REAR BODY 가공 ◈ (GATE CUTTING) ◈ (BLACK),정상,외주가공,국내,KRW,10000,31.0,310000,1.0,310000,정산완료,10000.0,경유창고,O1202401020009,PA202401020001,DO202401020014,,㈜삼광,김태완,20240102145058.0,수입검사등록확인
37.0,20240102.0,5367.0,모비텍,Mars,PCB-B526-00-Z,MARS REAR BODY 가공 ◈ (GATE CUTTING) ◈ (BLACK),정상,외주가공,국내,KRW,10000,31.0,310000,1.0,310000,정산완료,10000.0,경유창고,O1202401020008,PA202401020001,DO202401020013,,㈜삼광,김태완,20240102145057.0,수입검사등록확인
38.0,20240102.0,5367.0,모비텍,Mars,PCB-B526-00-Z,MARS REAR BODY 가공 ◈ (GATE CUTTING) ◈ (BLACK),정상,외주가공,국내,KRW,10000,31.0,310000,1.0,310000,정산완료,10000.0,경유창고,O1202401020007,PA202401020001,DO202401020015,,㈜삼광,김태완,20240102145057.0,수입검사등록확인
39.0,20240102.0,5367.0,모비텍,Mars,PCB-B526-00-Z,MARS REAR BODY 가공 ◈ (GATE CUTTING) ◈ (BLACK),정상,외주가공,국내,KRW,20000,31.0,620000,1.0,620000,정산완료,20000.0,경유창고,O1202401020006,PA202401020001,DO202401020016,,㈜삼광,김태완,20240102145057.0,수입검사등록확인
40.0,20240102.0,5367.0,모비텍,Tab S6 Lite,PCM-B462-00-S,TAB S6 LITE FRONT BODY 사출 ◈ (WP-1100/G34349 (PC ABS GF10%)) ◈ (GRAY),정상,외주가공,국내,KRW,11000,179.0,1969000,1.0,1969000,정산완료,11000.0,경유창고,O1202401020010,PA202401020001,DO202401020018,,㈜삼광,김태완,20240102145058.0,수입검사등록확인
41.0,20240102.0,5367.0,모비텍,Tab S6 Lite,PCM-B462-00-S,TAB S6 LITE FRONT BODY 사출 ◈ (WP-1100/G34349 (PC ABS GF10%)) ◈ (GRAY),정상,외주가공,국내,KRW,5000,179.0,895000,1.0,895000,정산완료,5000.0,경유창고,O1202401020011,PA202401020001,DO202401020017,,㈜삼광,김태완,20240102145058.0,수입검사등록확인
42.0,20240102.0,7273.0,신진테크원,E3,MCP-A322-00-B,E3 DECO 광 버핑  ◈ (광택/TOOL MARK 제거) ◈ (Dark Gray),정상,외주가공,국내,KRW,112981,30.0,3389430,1.0,3389430,정산완료,112981.0,경유창고,O1202401020046,PA202401020024,DO202401020036,,㈜삼광,품질공용,20240102171252.0,수입검사등록확인
43.0,20240102.0,7273.0,신진테크원,E3,MCP-A322-00-B,E3 DECO 광 버핑  ◈ (광택/TOOL MARK 제거) ◈ (Dark Gray),정상,외주가공,국내,KRW,50196,30.0,1505880,1.0,1505880,정산완료,50196.0,경유창고,O1202401020047,PA202401020025,DO202401020035,,㈜삼광,품질공용,20240102173632.0,수입검사등록확인
44.0,20240102.0,7360.0,디엔케이(D.N.K),SM-F721U,GH64-08899A-N,SM-F721U FRONT DECO MAIN NC ◈ (전면RCV HOLE 가공 3POINT) ◈ (BLACK),정상,외주가공,국내,KRW,4283,800.0,3426400,1.0,3426400,정산완료,4283.0,경유창고,O1202401020004,PA202401020008,DO202401020011,,㈜삼광,김태완,20240102145053.0,수입검사등록확인
45.0,20240102.0,7360.0,디엔케이(D.N.K),SM-F721U,GH64-08899A-N,SM-F721U FRONT DECO MAIN NC ◈ (전면RCV HOLE 가공 3POINT) ◈ (BLACK),정상,외주가공,국내,KRW,757,800.0,605600,1.0,605600,정산완료,757.0,경유창고,O1202401020005,PA202401020008,DO202401020012,,㈜삼광,김태완,20240102145053.0,수입검사등록확인
46.0,20240102.0,7531.0,진성텍,SM-F721U,GH64-08900A,SM-F721U FRONT DECO SUB NC  ◈ (브릿지가공) ◈ (),정상,외주가공,국내,KRW,5136,930.0,4776480,1.0,4776480,정산완료,5136.0,경유창고,O1202401020014,PA202401020011,DO202401020020,,㈜삼광,김태완,20240102161656.0,수입검사등록확인
47.0,20240102.0,7531.0,진성텍,SM-F721U,GH64-08900A,SM-F721U FRONT DECO SUB NC  ◈ (브릿지가공) ◈ (),정상,외주가공,국내,KRW,721,930.0,670530,1.0,670530,정산완료,721.0,경유창고,O1202401020015,PA202401020011,DO202401020021,,㈜삼광,김태완,20240102161656.0,수입검사등록확인
48.0,20240102.0,7608.0,코지텍아이엔씨 주식회사,E3,MCP-A322-01,E3 DECO CNC #3 ◈ (배면형상가공/타발) ◈ (Light Gray),정상,외주가공,국내,KRW,60000,397.0,23820000,1.0,23820000,정산완료,60000.0,제품창고,O1202401020045,PA202401020010,DO202401020001,,㈜삼광,품질공용,20240102164119.0,수입검사등록확인
49.0,20240102.0,,Sub Total,,,,,,,,811341,0.0,105641625,0.0,105641625,미정산,0.0,,,,,,,,,
50.0,20240103.0,3033.0,(주)삼원테크,E3,MCP-A322-00-N1,E3 DECO CNC #1 ◈ (기준 면삭 및 기준홀 가공) ◈ (Dark Gray),정상,외주가공,국내,KRW,80640,15.0,1209600,1.0,1209600,정산완료,80640.0,경유창고,O1202401030012,PA202401030011,DO202401030018,삼광윈테크 직납,㈜삼광,품질공용,20240103112047.0,수입검사등록확인
51.0,20240103.0,3033.0,(주)삼원테크,Mars,PNO-A438-00-Z,MARS KNOB 가공 ◈ (GATE CUTTING) ◈ (Black),정상,외주가공,국내,KRW,10000,56.0,560000,1.0,560000,정산완료,10000.0,경유창고,O1202401030019,PA202401030016,DO202401030017,,㈜삼광,김태완,20240103155558.0,수입검사등록확인
52.0,20240103.0,3033.0,(주)삼원테크,Tab S6 Lite,PCB-B463-00-Z,TAB S6 LITE REAR BODY 가공 ◈ (GATE CUTTING) ◈ (GRAY),정상,외주가공,국내,KRW,10000,32.0,320000,1.0,320000,정산완료,10000.0,경유창고,O1202401030016,PA202401030016,DO202401030012,,㈜삼광,김태완,20240103155558.0,수입검사등록확인
53.0,20240103.0,3033.0,(주)삼원테크,Tab S6 Lite,PNO-A423-00-Z,TAB S6 LITE KNOB 가공 ◈ (GATE CUTTING) ◈ (GRAY),정상,외주가공,국내,KRW,10000,71.0,710000,1.0,710000,정산완료,10000.0,경유창고,O1202401030018,PA202401030016,DO202401030013,,㈜삼광,김태완,20240103155558.0,수입검사등록확인
54.0,20240103.0,3033.0,(주)삼원테크,Tab S7,PHO-B341,TAB S7 MAGNET HOLDER 가공 ◈ (GATE CUTTING) ◈ (),정상,외주가공,국내,KRW,20000,29.0,580000,1.0,580000,정산완료,20000.0,제품창고,O1202401030017,PA202401030017,DO202401030014,,㈜삼광,김태완,20240103155558.0,수입검사등록확인
55.0,20240103.0,3033.0,(주)삼원테크,TAB S9 FE,PCB-B683-02-Z,TAB S9 FE REAR BODY 가공 ◈ (GATE CUTTING) ◈ (GRAY),정상,외주가공,국내,KRW,10000,37.0,370000,1.0,370000,정산완료,10000.0,경유창고,O1202401030013,PA202401030012,DO202401030015,경진기업 직납,㈜삼광,품질공용,20240103112048.0,수입검사등록확인
56.0,20240103.0,3033.0,(주)삼원테크,TAB S9 FE,PNO-A509-02-Z,TAB S9 FE KNOB 가공 ◈ (GATE CUTTING) ◈ (GRAY),정상,외주가공,국내,KRW,10000,65.0,650000,1.0,650000,정산완료,10000.0,경유창고,O1202401030014,PA202401030012,DO202401030016,경진기업 직납,㈜삼광,품질공용,20240103112048.0,수입검사등록확인
57.0,20240103.0,3088.0,(주)삼광윈테크,E3,MCP-A322-00-N2,E3 DECO CNC #2 ◈ (전면 형상가공 ) ◈ (Dark Gray),정상,외주가공,국내,KRW,81342,174.0,14153508,1.0,14153508,정산완료,81342.0,경유창고,O1202401030005,PA202401030010,DO202401030011,신진 #2차 <윤성>,㈜삼광,품질공용,20240103112043.0,수입검사등록확인
58.0,20240103.0,3088.0,(주)삼광윈테크,Mars,PCM-B525-00-N,"MARS FRONT BODY CNC ◈ (GATE, KNOB HOLE) ◈ (Black)",정상,외주가공,국내,KRW,4070,303.0,1233210,1.0,1233210,정산완료,4070.0,경유창고,O1202401030010,PA202401030009,DO202401030009,01/02 태산,㈜삼광,품질공용,20240103112044.0,수입검사등록확인
59.0,20240103.0,3088.0,(주)삼광윈테크,SM-F721U,GH64-08900A-N,SM-F721U FRONT DECO SUB NC  ◈ (전면DAMPER 가공 2POINT) ◈ (BLACK),정상,외주가공,국내,KRW,1357,800.0,1085600,1.0,1085600,정산완료,1357.0,경유창고,O1202401030001,PA202401030001,DO202401020039,,㈜삼광,품질공용,20240103103641.0,수입검사등록확인
60.0,20240103.0,3088.0,(주)삼광윈테크,SM-F721U,GH64-08900A-N,SM-F721U FRONT DECO SUB NC  ◈ (전면DAMPER 가공 2POINT) ◈ (BLACK),정상,외주가공,국내,KRW,2367,800.0,1893600,1.0,1893600,정산완료,2367.0,경유창고,O1202401030015,PA202401030014,DO202401030019,,㈜삼광,품질공용,20240103151825.0,수입검사등록확인
61.0,20240103.0,3088.0,(주)삼광윈테크,Tab S6 Lite,PCM-B462-00-N,"TAB S6 LITE FRONT BODY CNC ◈ (GATE, KNOB HOLE) ◈ (GRAY)",정상,외주가공,국내,KRW,12110,314.0,3802540,1.0,3802540,정산완료,12110.0,경유창고,O1202401030025,PA202401030009,DO202401030010,01/02 태산,㈜삼광,품질공용,20240103170944.0,수입검사등록확인
62.0,20240103.0,3088.0,(주)삼광윈테크,Tab S7,PCM-B474-00-N,"TAB S7 FRONT BODY CNC ◈ (GATE, KNOB HOLE) ◈ (Black)",정상,외주가공,국내,KRW,4287,303.0,1298961,1.0,1298961,정산완료,4287.0,경유창고,O1202401030007,PA202401030007,DO202401030006,01/02 경진S8_BLACK,㈜삼광,품질공용,20240103112044.0,수입검사등록확인
63.0,20240103.0,3088.0,(주)삼광윈테크,Tab S7,PCM-B474-00-N,"TAB S7 FRONT BODY CNC ◈ (GATE, KNOB HOLE) ◈ (Black)",정상,외주가공,국내,KRW,16143,303.0,4891329,1.0,4891329,정산완료,16143.0,경유창고,O1202401030008,PA202401030007,DO202401030007,01/02 경진,㈜삼광,품질공용,20240103112044.0,수입검사등록확인
64.0,20240103.0,3088.0,(주)삼광윈테크,Tab S7,PCM-B474-00-N,"TAB S7 FRONT BODY CNC ◈ (GATE, KNOB HOLE) ◈ (Black)",정상,외주가공,국내,KRW,1370,303.0,415110,1.0,415110,정산완료,1370.0,경유창고,O1202401030009,PA202401030007,DO202401030007,01/02 경진,㈜삼광,품질공용,20240103112044.0,수입검사등록확인
65.0,20240103.0,3088.0,(주)삼광윈테크,TAB S9 FE,PCM-B682-03-N,"TAB S9 FE FRONT BODY CNC ◈ (GATE, KNOB HOLE) ◈ (LIGHT GREEN)",정상,외주가공,국내,KRW,9918,355.0,3520890,1.0,3520890,정산완료,9918.0,경유창고,O1202401030011,PA202401030008,DO202401030008,01/02 경진,㈜삼광,품질공용,20240103112044.0,수입검사등록확인
66.0,20240103.0,3226.0,준테크(전 유신테크),SM-F721U,GH64-08899A,SM-F721U FRONT DECO MAIN NC ◈ (브릿지가공) ◈ (),정상,외주가공,국내,KRW,6103,930.0,5675790,1.0,5675790,정산완료,6103.0,경유창고,O1202401030020,PA202401030020,DO202401030024,,㈜삼광,품질공용,20240103165510.0,수입검사등록확인
67.0,20240103.0,3226.0,준테크(전 유신테크),SM-F731U,GH64-09152A-N,SM-F731U FRONT DECO SUB NC ◈ (GATE 가공 6POINT ) ◈ (BLACK),정상,외주가공,국내,KRW,5040,725.0,3654000,1.0,3654000,정산완료,5040.0,경유창고,O1202401030021,PA202401030020,DO202401030023,,㈜삼광,품질공용,20240103165510.0,수입검사등록확인
68.0,20240103.0,7362.0,주식회사 삼원테크(구미),SM-F721U,GH64-08899A-D,SM-F721U FRONT DECO MAIN 도장 ◈ (듀얼 3코팅 / 중부페인트) ◈ (),정상,외주가공,국내,KRW,8536,620.0,5292320,1.0,5292320,정산완료,8536.0,경유창고,O1202401030002,PA202401030004,DO202401030003,,㈜삼광,품질공용,20240103103656.0,수입검사등록확인
69.0,20240103.0,7362.0,주식회사 삼원테크(구미),SM-F721U,GH64-08900A-D,SM-F721U FRONT DECO SUB 도장 ◈ (듀얼 3코팅 / 중부페인트) ◈ (),정상,외주가공,국내,KRW,6424,620.0,3982880,1.0,3982880,정산완료,6424.0,경유창고,O1202401030003,PA202401030005,DO202401030004,,㈜삼광,품질공용,20240103103656.0,수입검사등록확인
70.0,20240103.0,7531.0,진성텍,SM-F721U,GH64-08900A,SM-F721U FRONT DECO SUB NC  ◈ (브릿지가공) ◈ (),정상,외주가공,국내,KRW,3086,930.0,2869980,1.0,2869980,정산완료,3086.0,경유창고,O1202401030022,PA202401030019,DO202401030022,,㈜삼광,품질공용,20240103165513.0,수입검사등록확인
71.0,20240103.0,7601.0,준테크윈,E3,MCP-A322-00-AN,E3 DECO 아노다이징  ◈ (DARK GRAY) ◈ (Dark Gray),정상,외주가공,국내,KRW,166596,52.0,8662992,1.0,8662992,정산완료,166596.0,경유창고,O1202401030004,PA202401030006,DO202401030005,,㈜삼광,품질공용,20240103103658.0,수입검사등록확인
72.0,20240103.0,7608.0,코지텍아이엔씨 주식회사,DM3,MCP-A288-02,DM3 DECO CNC #3 ◈ (배면형상가공/타발) ◈ (GREEN),정상,외주가공,국내,KRW,20000,405.0,8100000,1.0,8100000,정산완료,20000.0,제품창고,O1202401030023,PA202401030018,DO202401020038,,㈜삼광,품질공용,20240103165517.0,수입검사등록확인
73.0,20240103.0,7608.0,코지텍아이엔씨 주식회사,E3,MCP-A322-01,E3 DECO CNC #3 ◈ (배면형상가공/타발) ◈ (Light Gray),정상,외주가공,국내,KRW,60000,397.0,23820000,1.0,23820000,정산완료,60000.0,제품창고,O1202401030024,PA202401030018,DO202401020037,,㈜삼광,품질공용,20240103165518.0,수입검사등록확인
74.0,20240103.0,,Sub Total,,,,,,,,559389,0.0,98752310,0.0,98752310,미정산,0.0,,,,,,,,,
75.0,20240104.0,3014.0,(주)에스엘통신,SM-F721U,GH98-47751A,SM-F721U ASSY-FRONT DECO MAIN ◈ (BLACK) ◈ (BLACK),정상,외주가공,국내,KRW,200,335.0,67000,1.0,67000,정산완료,200.0,제품창고,O1202401040007,PA202401040007,DO202401040002,,㈜삼광,품질공용,20240104111606.0,수입검사등록확인
76.0,20240104.0,3014.0,(주)에스엘통신,SM-F721U,GH98-47751A,SM-F721U ASSY-FRONT DECO MAIN ◈ (BLACK) ◈ (BLACK),정상,외주가공,국내,KRW,6720,335.0,2251200,1.0,2251200,정산완료,6720.0,제품창고,O1202401040006,PA202401040008,DO202401040003,,㈜삼광,품질공용,20240104111606.0,수입검사등록확인
77.0,20240104.0,3014.0,(주)에스엘통신,SM-F721U,GH98-47751A,SM-F721U ASSY-FRONT DECO MAIN ◈ (BLACK) ◈ (BLACK),정상,외주가공,국내,KRW,3160,335.0,1058600,1.0,1058600,정산완료,3160.0,제품창고,O1202401040005,PA202401040006,DO202401040001,,㈜삼광,품질공용,20240104111605.0,수입검사등록확인
