No.,입고일,거래처,거래처명,품목군,품목코드,품목정보,구분,입고구분,매입구분,화폐,입고량,단가,금액,환율,환산금액,정산구분,정산수량,입고창고,입고전표번호,접수번호,DO번호,비고,사업장,최종수정자,최종수정일시,등록프로그램
884.0,20240131.0,1027.0,태령기업,MCS-40,GH61-00110A,"MCS-40 BOTTOM BASE 인쇄 ◈ (상도 2도 인쇄 (열판 경계, LOGO)) ◈ (Black)",정상,외주가공,국내,KRW,126,2580.0,325080,1.0,325080,정산완료,126.0,경유창고,O1202401310072,PA202401310049,DO202402010058,,㈜삼광,김태완,20240201160136.0,수입검사등록확인
885.0,20240131.0,1027.0,태령기업,MCS-40,GH61-00110B,"MCS-40 BOTTOM BASE 인쇄 ◈ (상도 2도 인쇄 (열판 경계, LOGO)) ◈ (WHITE)",정상,외주가공,국내,KRW,2,2580.0,5160,1.0,5160,정산완료,2.0,경유창고,O1202401310073,PA202401310051,DO202402010059,,㈜삼광,김태완,20240201160137.0,수입검사등록확인
886.0,20240131.0,1027.0,태령기업,Q2 NON BLE,PCM-B547-00,Q2 NON BLE FRONT BODY 도장 ◈ (하도 2도 인쇄 / SF 3COAT) ◈ (BLACK),정상,외주가공,국내,KRW,497,858.0,426426,1.0,426426,정산완료,497.0,제품창고,O1202401310085,PA202401310048,DO202402010071,,㈜삼광,김태완,20240201160138.0,수입검사등록확인
887.0,20240131.0,1027.0,태령기업,SM-A135F,GH61-17063A-D,SM-A135F PMO CASE REAR SPRAY/PRINT ◈ (UV 3코팅 / 유100% (BLACK)) ◈ (BLACK),정상,외주가공,국내,KRW,4188,1360.0,5695680,1.0,5695680,정산완료,4188.0,경유창고,O1202401310074,PA202401310051,DO202402010060,,㈜삼광,김태완,20240201160137.0,수입검사등록확인
888.0,20240131.0,1027.0,태령기업,SM-A135F,GH61-17063B-D,SM-A135F PMO CASE REAR SPRAY/PRINT ◈ (UV 3코팅 / 유100% (LIGHT BLUE)) ◈ (LIGHT BLUE),정상,외주가공,국내,KRW,216,1329.0,287064,1.0,287064,정산완료,216.0,경유창고,O1202401310075,PA202401310051,DO202402010061,,㈜삼광,김태완,20240201160137.0,수입검사등록확인
889.0,20240131.0,1027.0,태령기업,SM-F731U,GH64-09151A-D,SM-F731U FRONT DECO MAIN 도장 ◈ (듀얼 3코팅 / 중부페인트) ◈ (BLACK),정상,외주가공,국내,KRW,156,650.0,101400,1.0,101400,정산완료,156.0,경유창고,O1202401310077,PA202401310049,DO202402010063,,㈜삼광,김태완,20240201160137.0,수입검사등록확인
890.0,20240131.0,1027.0,태령기업,SM-F731U,GH64-09152A-D,SM-F731U FRONT DECO SUB 도장 ◈ (듀얼 3코팅 / 중부페인트) ◈ (BLACK),정상,외주가공,국내,KRW,1368,650.0,889200,1.0,889200,정산완료,1368.0,경유창고,O1202401310078,PA202401310049,DO202402010064,,㈜삼광,김태완,20240201160137.0,수입검사등록확인
891.0,20240131.0,1027.0,태령기업,SM-F936U,GH64-08862A-D,SM-F936U FRONT DECO SUB 도장 ◈ (중부 듀얼 3COT) ◈ (BLACK),정상,외주가공,국내,KRW,124,775.0,96100,1.0,96100,정산완료,124.0,경유창고,O1202401310076,PA202401310051,DO202402010062,,㈜삼광,김태완,20240201160137.0,수입검사등록확인
892.0,20240131.0,1027.0,태령기업,Tab S7,PCB-B475-00,TAB S7 REAR BODY 도장 ◈ (SF 4COAT) ◈ (BLACK),정상,외주가공,국내,KRW,8000,89.0,712000,1.0,712000,정산완료,8000.0,제품창고,O1202401310023,PA202401300027,DO202401300031,,㈜삼광,품질공용,20240131161736.0,수입검사등록확인
893.0,20240131.0,1027.0,태령기업,Tab S7,PCB-B475-01,TAB S7 REAR BODY 도장 ◈ (SF 4COAT) ◈ (Silver),정상,외주가공,국내,KRW,403,89.0,35867,1.0,35867,정산완료,403.0,제품창고,O1202401310079,PA202401310048,DO202402010065,,㈜삼광,김태완,20240201160137.0,수입검사등록확인
