0,1,2,3,4,5,6,7,8
부서별(P/O),,,,출근현황,,,,결근인원
한국인,외국인,"계약직
(도급)",합계,한국인,외국인,"계약직
(도급)",합계,
0,0,0,0,0,0,0,0,0
