0,1,2,3,4,5,6,7,8
부서별(P/O),,,,출근현황,,,,결근인원
한국인,외국인,"계약직
(도급)",합계,한국인,외국인,"계약직
(도급)",합계,
5,0,0,5,4,0,0,4,1
9,0,11,20,9,0,11,20,1
6,0,0,6,6,0,0,6,0
2,0,0,2,3,0,0,3,0
7,0,7,14,7,0,5,12,2
4,0,1,5,3,0,1,4,1
4,0,61,65,3,0,58,61,4
14,0,46,60,13,0,43,56,4
