0,1,2,3,4
구분,부서별 (T/O),,,
,한국인,외국인,"계약직
(도급)",합계
계,91,"1,497",812,"2,400"
베트남사업부,24,"1,497",737,"2,258"
윈테크,0,0,0,0
한국사업부,67,0,75,142
