0,1,2,3,4
구분,부서별 (T/O),,,
,한국인,외국인,"계약직
(도급)",합계
재경,1,5,0,6
조립,1,701,303,"1,005"
CNC,0,175,327,502
도장,1,136,36,173
IT,0,4,0,4
경영지원,2,36,0,38
사출,4,152,62,218
금형,2,30,0,32
구매,1,23,0,24
품질,3,171,9,183
개발,5,24,0,29
영업,4,40,0,44
계,24,"1,497",737,"2,258"
