0,1,2,3,4
구분,부서별 (T/O),,,
,한국인,외국인,"계약직
(도급)",합계
개발,15,0,1,16
품질,15,0,5,20
사출,6,0,23,29
조립,3,0,43,46
가공기술,6,0,0,6
금형,4,0,0,4
Global 원가혁신팀,3,0,0,3
"Global
신사업부문(마케팅,영업)",8,0,0,8
연구소,19,0,0,19
경영지원,13,0,0,13
재경팀,3,0,0,3
별정직,0,0,6,6
설비보전,7,0,0,7
제조지원 구매영업,8,0,3,11
계,110,0,81,191
