0,1,2,3,4,5,6,7,8
부서별(P/O),,,,출근현황,,,,결근인원
한국인,외국인,"계약직
(도급)",합계,한국인,외국인,"계약직
(도급)",합계,
162,"1,498","1,035","2,695",156,1453,928,2537,160
24,"1,497",737,"2,258",24,1452,652,2128,130
71,1,223,295,68,1,208,277,20
67,0,75,142,64,0,68,132,10
